"","Team1","Team2","Team1Score","Team2Score","TeamID_L","Season","TeamID_W","WinTest","LWins","LLosses","LMean_Score","LMean_FGM","LMean_FGA","LMean_FGM3","LMean_FGA3","LMean_FTM","LMean_FTA","LMean_WOR","LMean_WDR","LMean_Ast","LMean_TO","LMean_Stl","LMean_Blk","LMean_PF","WWins","WLosses","WMean_Score","WMean_FGM","WMean_FGA","WMean_FGM3","WMean_FGA3","WMean_FTM","WMean_FTA","WMean_WOR","WMean_WDR","WMean_Ast","WMean_TO","WMean_Stl","WMean_Blk","WMean_PF","WinTest"
"73",1173,1129,56,55,1129,2015,1173,1,23,8,69.8709677419355,24.1935483870968,53.3548387096774,8.70967741935484,22.258064516129,12.7741935483871,17.5483870967742,8.51612903225806,24.0322580645161,11.7096774193548,10.2258064516129,5.96774193548387,2.32258064516129,17.2258064516129,25,8,68.2121212121212,22.7272727272727,49.0909090909091,6.45454545454545,18.3333333333333,16.3030303030303,23.9090909090909,7.42424242424242,24.1212121212121,13.8181818181818,11.4848484848485,6.96969696969697,2.54545454545455,15.9090909090909,1
"127",1246,1153,69,60,1153,2005,1246,1,24,7,76.4193548387097,25.5483870967742,58.2258064516129,6.61290322580645,19.0322580645161,18.7096774193548,27,14.3870967741935,27.0645161290323,15,13.4516129032258,5.48387096774194,6.87096774193548,17.6774193548387,25,5,73.7333333333333,26.5,57.7333333333333,6.53333333333333,19.3333333333333,14.2,21.4,12.7,22.9,15.2666666666667,13.0333333333333,9.4,4.43333333333333,16.8,1
"438",1387,1272,61,54,1272,2012,1387,1,26,8,75.2941176470588,26.8235294117647,54.2647058823529,5.38235294117647,14.5882352941176,16.2647058823529,22.5882352941176,9.47058823529412,24.9411764705882,14.7647058823529,12.7352941176471,7.94117647058824,5.67647058823529,19.0588235294118,24,7,69.0967741935484,24.258064516129,53.4516129032258,7.16129032258065,19.4193548387097,13.4193548387097,18.7741935483871,10.2258064516129,22.5161290322581,14,11.2903225806452,6.96774193548387,3.03225806451613,16.9677419354839,1
"121",1301,1150,75,63,1150,2005,1301,1,21,7,78.3571428571429,26.4285714285714,61.0357142857143,8,21.75,17.5,25.5714285714286,14.5714285714286,24.1071428571429,14.2142857142857,13.1785714285714,8.71428571428571,3.21428571428571,16.9642857142857,19,13,73.84375,25.1875,54.875,8.46875,22.9375,15,21.5625,11.09375,21.4375,15.3125,12.28125,7.0625,4.34375,18.84375,1
"260",1462,1209,75,67,1209,2015,1462,1,23,9,70.625,25.4375,53.5625,4.6875,14.71875,15.0625,20.5625,9.375,23.21875,13.21875,10.6875,8.90625,4.25,18.4375,21,13,73.5588235294118,26.0294117647059,55,6.29411764705882,18.0294117647059,15.2058823529412,20.9705882352941,10,24.8235294117647,16.3823529411765,12.0882352941176,6.08823529411765,2.85294117647059,18.0588235294118,1
"852",1417,1437,69,89,1417,2011,1196,0,26,7,76.5454545454545,25.969696969697,56.8787878787879,6.60606060606061,17.969696969697,18,24.2727272727273,12.2121212121212,25.2121212121212,14.8484848484848,13.3636363636364,7.96969696969697,3.21212121212121,18.969696969697,26,8,75.9705882352941,28,57.0588235294118,7.58823529411765,19.2058823529412,12.3823529411765,17.2941176470588,11.6764705882353,21.8235294117647,15.6764705882353,12.2941176470588,8.29411764705882,3.26470588235294,16.9705882352941,0
"626",1329,1332,73,79,1329,2017,1276,0,24,9,75,27.1212121212121,59.1212121212121,7.36363636363636,20.0606060606061,13.3939393939394,17.4242424242424,10.3030303030303,25.3333333333333,13.9393939393939,11.6666666666667,5.63636363636364,4.24242424242424,18.5151515151515,17,13,66.5333333333333,22.3666666666667,51.4666666666667,6.86666666666667,19.8333333333333,14.9333333333333,20.4333333333333,8.66666666666667,22.9333333333333,11.3,12,7.76666666666667,5,19.2666666666667,0
"20",1328,1107,69,60,1107,2015,1328,1,24,8,65.5,22.0625,50.15625,6.15625,17.09375,15.21875,20,10,23.625,10.4375,11.6875,5.65625,1.625,16.5,22,10,71.9375,25.5625,58.5625,6.75,19.65625,14.0625,19.125,10.96875,27.125,12.5,12.125,6.90625,5.03125,16.40625,1
"670",1343,1323,58,60,1344,2004,1334,0,25,9,78,27.5588235294118,59.7941176470588,9.41176470588235,24.4117647058824,13.4705882352941,16.8529411764706,9.32352941176471,24.4411764705882,16,9.44117647058824,7.17647058823529,3.76470588235294,14.8529411764706,22,6,70.8214285714286,25.2857142857143,56.5357142857143,9.89285714285714,25.9642857142857,10.3571428571429,14.0714285714286,8.10714285714286,24.3571428571429,13.8214285714286,9.89285714285714,6.78571428571429,3.17857142857143,16.25,0
"320",1322,1234,64,63,1234,2006,1322,1,25,8,66.3939393939394,23.1212121212121,53.6363636363636,5.60606060606061,16.7272727272727,14.5454545454545,20.6060606060606,11,26.8484848484848,14.9090909090909,14.7575757575758,6.6969696969697,4.90909090909091,15.1212121212121,22,7,75.7586206896552,26.6206896551724,57.3448275862069,6.58620689655172,18.1379310344828,15.9310344827586,23.6896551724138,13.0689655172414,22.5862068965517,16.6551724137931,15.7931034482759,8.82758620689655,3.27586206896552,20.8965517241379,1
"141",1438,1157,70,59,1157,2014,1438,1,18,12,70.5333333333333,24.6666666666667,57.4666666666667,5.73333333333333,17.9,15.4666666666667,22.3333333333333,12.7,26.1333333333333,9.93333333333333,14.1,6.2,2.8,19.9333333333333,28,6,65.9411764705882,23.0588235294118,50.9705882352941,5.5,15.0882352941176,14.3235294117647,21.5882352941176,10.9117647058824,24.6470588235294,13.0882352941176,10.2058823529412,5.32352941176471,3.97058823529412,16.0588235294118,1
"21",1397,1110,72,57,1110,2008,1397,1,21,11,65.09375,21.15625,47.78125,7.84375,19.15625,14.9375,20.09375,9.46875,22.5625,11.90625,13.625,4.59375,2.625,17.53125,29,4,81.3333333333333,28.7272727272727,63.4242424242424,8.90909090909091,24.6363636363636,14.969696969697,23.1515151515152,14.6363636363636,23.4545454545455,17.5151515151515,12.969696969697,9.27272727272727,3.36363636363636,20.5151515151515,1
"274",1140,1211,89,67,1211,2011,1140,1,23,9,75.875,26.34375,55.53125,5.625,15.78125,17.5625,23.125,11.46875,25.875,14.90625,13.53125,7.34375,3.625,18.6875,31,4,81.5142857142857,27.6571428571429,61.1142857142857,8.11428571428571,22.7142857142857,18.0857142857143,23.9428571428571,11.4571428571429,27.0285714285714,14,11.0571428571429,7.97142857142857,4.17142857142857,17.7714285714286,1
"36",1462,1112,73,71,1112,2017,1462,1,30,4,76.2647058823529,26.2058823529412,55.0882352941176,6.73529411764706,16.9411764705882,17.1176470588235,22.5882352941176,10.2941176470588,26.4705882352941,13.7941176470588,11.4411764705882,5.5,3.23529411764706,16.9705882352941,21,13,74.6176470588235,25.7647058823529,56.7352941176471,7.02941176470588,20.6764705882353,16.0588235294118,23.3529411764706,12.2058823529412,25.3823529411765,14.8529411764706,12.7941176470588,6.14705882352941,2.67647058823529,18.7647058823529,1
"818",1401,1417,49,51,1401,2009,1163,0,32,3,74.6285714285714,26.7142857142857,55.8285714285714,5.22857142857143,15.6285714285714,15.9714285714286,21.6,12.6,23.8,14.6,12.3428571428571,7.37142857142857,3.85714285714286,14.2285714285714,26,11,71.7837837837838,25.4594594594595,54.2972972972973,6.05405405405405,16.7567567567568,14.8108108108108,23.4594594594595,11.6756756756757,27.6216216216216,13.3243243243243,12.5405405405405,4.45945945945946,4.21621621621622,17.027027027027,0
"1003",1457,1115,44,61,1457,2017,1139,0,17,15,64.40625,21.59375,52.53125,4.09375,13.46875,17.125,25.8125,12.59375,25.625,12.53125,16.9375,6.84375,3.4375,22.78125,17,13,62.5666666666667,22.6333333333333,58.8,4,15.1,13.3,20.8,13.5666666666667,24.8,10.8,12.2,8.73333333333333,3.76666666666667,18.9666666666667,0
"647",1334,1274,49,78,1335,2003,1329,0,27,6,69.9090909090909,25.0606060606061,54.4848484848485,6.81818181818182,19.030303030303,12.969696969697,19.1515151515152,10.030303030303,25.7272727272727,11.2727272727273,10.9090909090909,6.33333333333333,4.54545454545455,14.7272727272727,20,12,66.84375,23.21875,52.0625,6.46875,16.53125,13.9375,19.90625,9.40625,22.15625,14.34375,11.21875,5.53125,1.21875,18.3125,0
