"","LTeamID","Season","WTeamID","DayNum","WScore","LScore","WLoc","NumOT","WFGM","WFGA","WFGM3","WFGA3","WFTM","WFTA","WOR","WDR","WAst","WTO","WStl","WBlk","WPF","LFGM","LFGA","LFGM3","LFGA3","LFTM","LFTA","LOR","LDR","LAst","LTO","LStl","LBlk","LPF","WConfAbbrev","WTeamName","WFirstD1Season","WLastD1Season","WWins","WLosses","WMean_Score","WMean_FGM","WMean_FGA","WMean_FGM3","WMean_FGA3","WMean_FTM","WMean_FTA","WMean_WOR","WMean_WDR","WMean_Ast","WMean_TO","WMean_Stl","WMean_Blk","WMean_PF","LConfAbbrev","LTeamName","LFirstD1Season","LLastD1Season","LWins","LLosses","LMean_Score","LMean_FGM","LMean_FGA","LMean_FGM3","LMean_FGA3","LMean_FTM","LMean_FTA","LMean_WOR","LMean_WDR","LMean_Ast","LMean_TO","LMean_Stl","LMean_Blk","LMean_PF"
"1",1102,2004,1314,136,63,52,"N",0,22,53,4,13,15,18,14,21,12,13,10,1,15,17,39,8,25,10,13,2,19,15,16,7,2,15,"acc","North Carolina",1985,2019,18,10,83.0714285714286,29.6428571428571,64.1071428571429,6.5,18.3571428571429,17.2857142857143,25.4285714285714,15.3571428571429,24.6428571428571,18.3571428571429,15.6428571428571,9.60714285714286,4.21428571428571,18.5,"mwc","Air Force",1985,2019,25,7,60.25,20.375,42.09375,8.25,21.75,11.25,15.8125,5.96875,15.125,12.78125,10.65625,7.6875,2.25,16.71875
"2",1102,2006,1228,136,78,69,"N",0,29,50,8,22,12,14,7,21,17,11,6,1,17,21,41,13,27,14,18,1,14,15,11,7,1,13,"big_ten","Illinois",1985,2019,25,6,69.9677419354839,25.6129032258065,56.1290322580645,7.35483870967742,20.258064516129,11.3870967741935,17.9677419354839,12.4516129032258,23.5483870967742,15.0967741935484,12.3548387096774,6.2258064516129,2.51612903225806,17.3870967741935,"mwc","Air Force",1985,2019,22,6,63.5,21.9285714285714,45.5714285714286,8.60714285714286,21.6785714285714,11.0357142857143,14.7857142857143,6.78571428571429,17.7857142857143,14.1785714285714,10.9285714285714,8,2.10714285714286,15.3928571428571
"3",1103,2009,1211,136,77,64,"N",0,23,44,5,15,26,31,7,27,15,8,5,5,18,21,57,10,23,12,18,11,15,15,8,0,1,23,"wcc","Gonzaga",1985,2019,27,5,79.625,28.71875,58.78125,7.65625,18.90625,14.53125,20.25,10.75,27.78125,15.125,11.75,7.40625,5.3125,16.28125,"mac","Akron",1985,2019,22,12,66.4117647058823,22.5882352941176,54.2647058823529,7.11764705882353,21.6176470588235,14.1176470588235,19.7352941176471,11.7352941176471,21.3529411764706,12.1176470588235,13.7352941176471,7.64705882352941,2.26470588235294,20.6176470588235
"4",1103,2011,1323,137,69,56,"N",0,21,47,7,17,20,26,6,35,16,14,5,5,11,23,64,7,21,3,6,8,24,10,8,6,4,21,"big_east","Notre Dame",1985,2019,26,6,76,25.09375,53.84375,8.09375,20.65625,17.71875,24.4375,10.9375,26,16.71875,10.6875,4.59375,3.6875,15.03125,"mac","Akron",1985,2019,22,12,69.9705882352941,24.5882352941176,57.2058823529412,7.88235294117647,21.8823529411765,12.9117647058824,18.2352941176471,10.0588235294118,24.2058823529412,14.3529411764706,12.0294117647059,6.44117647058824,3.41176470588235,19.2352941176471
"5",1103,2013,1433,136,88,42,"N",0,35,65,8,16,10,14,13,23,15,7,11,0,17,15,43,1,13,11,19,9,20,5,22,2,6,12,"a_ten","VA Commonwealth",1985,2019,27,8,77.4857142857143,27.9428571428571,62.2,8.02857142857143,22.5428571428571,13.5714285714286,19.3714285714286,13.8571428571429,20.9142857142857,14.8285714285714,11.8285714285714,11.7428571428571,3.17142857142857,20,"mac","Akron",1985,2019,25,6,71.9354838709677,25.7741935483871,56.9354838709677,6.93548387096774,20.8709677419355,13.4516129032258,20.9354838709677,13.0322580645161,24.7741935483871,15,13.741935483871,7.12903225806452,5.58064516129032,18
"6",1104,2003,1231,137,67,62,"N",0,19,49,7,18,22,26,13,22,15,8,1,2,17,22,52,5,12,13,16,9,20,13,8,2,6,21,"big_ten","Indiana",1985,2019,20,12,70.53125,23.4375,54.9375,7.53125,21.625,16.125,22.625,11.21875,25.625,13.8125,11.5,4.4375,5.34375,18.0625,"sec","Alabama",1985,2019,17,11,69.2857142857143,24.0357142857143,57.1785714285714,6.35714285714286,19.8571428571429,14.8571428571429,20.9285714285714,13.5714285714286,23.9285714285714,12.1071428571429,13.2857142857143,6.60714285714286,3.78571428571429,18.0357142857143
"7",1104,2004,1163,145,87,71,"N",0,29,60,10,17,19,29,15,25,17,7,3,7,18,25,60,6,19,15,18,12,21,14,9,2,5,23,"big_east","Connecticut",1985,2019,29,6,78.7714285714286,29.9714285714286,62.2857142857143,6.37142857142857,15.8,12.4571428571429,20.0285714285714,15.0285714285714,29.6,18.3428571428571,13.7714285714286,6.08571428571429,8.42857142857143,15.9428571428571,"sec","Alabama",1985,2019,17,12,72.2068965517241,24.8965517241379,55,7.13793103448276,18.6206896551724,15.2758620689655,21.8620689655172,11.3103448275862,24,11.8620689655172,13.2758620689655,6.44827586206897,3.10344827586207,18.3448275862069
"8",1104,2005,1454,136,83,73,"N",0,26,50,12,21,19,28,8,14,20,7,6,1,18,26,50,9,23,12,16,12,22,17,19,3,3,20,"horizon","WI Milwaukee",1991,2019,22,5,73.8888888888889,25.5925925925926,58.1481481481481,7.74074074074074,22.3703703703704,14.962962962963,21.3703703703704,13.3333333333333,23.2962962962963,13.5185185185185,13.6666666666667,8.2962962962963,3.51851851851852,19.4444444444444,"sec","Alabama",1985,2019,23,7,75.4333333333333,25.3666666666667,52.6666666666667,7.63333333333333,19.5666666666667,17.0666666666667,23.2666666666667,10.2333333333333,26.4666666666667,13.8333333333333,12.6666666666667,5.2,4.43333333333333,14.7333333333333
"9",1104,2006,1417,138,62,59,"N",0,24,47,9,25,5,13,7,14,17,11,5,4,20,19,39,2,11,19,25,10,20,10,15,7,3,15,"pac_ten","UCLA",1985,2019,27,6,68.5757575757576,24.3939393939394,50.7575757575758,6.27272727272727,17.5757575757576,13.5151515151515,19.2121212121212,10.8787878787879,22.0909090909091,14.0606060606061,14.5454545454545,5.63636363636364,2.75757575757576,16.1515151515152,"sec","Alabama",1985,2019,17,12,69.9655172413793,24.5172413793103,54.0689655172414,5.51724137931035,16.2413793103448,15.4137931034483,21.8275862068966,12.5172413793103,24.4827586206897,12.2068965517241,13.5172413793103,6.3448275862069,5.03448275862069,13.8275862068966
"10",1104,2012,1166,137,58,57,"N",0,22,50,9,21,5,13,7,24,14,7,4,3,11,22,48,7,17,6,12,6,26,9,9,5,4,18,"mvc","Creighton",1985,2019,28,5,80.030303030303,28.030303030303,55.0606060606061,8.18181818181818,19.2727272727273,15.7878787878788,21.5757575757576,9.51515151515152,26.6363636363636,17.9090909090909,12.2727272727273,4.78787878787879,2.3030303030303,17.0606060606061,"sec","Alabama",1985,2019,21,11,64.9375,23.625,52.3125,4.03125,14.15625,13.65625,19.09375,10.8125,24.375,12.28125,12.9375,7.3125,4.15625,18.40625
